Cluster,Name,Abbreviation,Region,Level,Tiers,Group,Available,Prereqs,Challenge,Note,Bosses
Shadows of Angmar,Ost Elendil,OE,Evendim (Annúminas),40-115,1,Fellowship,VIP/QP,,Daily,The throne room and outlying chambers of Annúminas,Guloth; Balhest
Shadows of Angmar,Haudh Valandil,HV,Evendim (Annúminas),40-115,1,Fellowship,VIP/QP,,Daily,"The tomb of Valandil, third King of Arnor",Shingrinder; Dolvaethor; Valandil of Arnor
Shadows of Angmar,Urugarth,Uru,Angmar,50,1,Fellowship,VIP/QP,,,South-east of Carn Dûm in NE Angmar,Sorkrank; Burzfîl; Dushkâl; Akrûr; Dafrim; Kughûrz; Gríshakrum; Lâmkarn; Athpukh; Lhugrien; Brízrip; Thordragh; Morthrâng; Gruglok; Lagmâs
Shadows of Angmar,Carn Dûm[4],CD,Angmar,50,1,Fellowship,VIP/QP,,,North-eastern Angmar,Urro; Barashal; Helchgam; Sálvakh; Azgoth; Avalgaith; Tárlakh; Târlug; Mormoz; Rodakhan; Múra; Gúrthul; Mordirith
Shadows of Angmar,Barad Gúlaran,BG,Angmar,50,1,Fellowship,VIP/QP,,,"The fortress of the Witch-king, in north-eastern Angmar",Forvengwath; Afraig; Coblaith; Castellan Wisdán; Múlvuirë; Udúnion
Shadows of Angmar,The Library at Tham Mírdain,Lib,Eregion,50-115,1,Small Fellowship,VIP/QP,,Daily,An ancient library near the ring-forges of Mirobel,Commander Piztor; Commander Unudhu; Chieftain Gûrsh
Shadows of Angmar,The School at Tham Mírdain,School or Sch,Eregion,50-115,1,Small Fellowship,VIP/QP,,Daily,An ancient school near the ring-forges of Mirobel,Llygad the Blade; Chief Warrior Thurgtârk; Commander Târsh
Mines of Moria,The Dark Delving,DD,The Foundations of Stone,58,1,Fellowship,Exp/QP,,Daily,,Void-eater; Doom-speaker; Gurvand
Mines of Moria,The Forgotten Treasury,FT,The Silvertine Lodes,54,1,Fellowship,Exp/QP,,,A treasure-vault infiltrated by Uruks from Dol Guldur,Darûkûrz; Frûzgûl; Lorzgûl; Mokza; Nardurgûl; Narghug; Morhûn; Skûm; Urauth
Mines of Moria,The Grand Stair,GS,The Redhorn Lodes,56,1,Fellowship,Exp/QP,,Daily,,Ilzkâl the Pummeler; Gothghaash the Firecaller; Dorozg the Beast Tamer; The Beast; Glothrok the Vile; Nardur the Shield; Igash the Fanatic
Mines of Moria,Forges of Khazad-dûm,Forges,The Flaming Deeps,58,1,Fellowship,Exp/QP,,Daily,,Narkû; Dhaub; Thrug; Kranklûk
Mines of Moria,Fil Gashan,FG,The Flaming Deeps,58,1,Fellowship,Exp/QP,,Daily,,Vrarz; Greb; Talug
Mines of Moria,The Sixteenth Hall,16th,Nud-melek,58,1,Fellowship,Exp/QP,,Daily,,Tramug; Dhûrz; The Lost One
Mines of Moria,Skûmfil,Skum,The Foundations of Stone,58,1,Fellowship,Exp/QP,,Daily,,Bonetooth; Rockjaw; Shalebiter; Old Gnawer; Cracktooth; Brúmbereth; Uammaethor; Grog; Grothulun; Nestaduan; Ulugon; Longpincer; Grimreaver; Hwandrin
Scourge of Khazad-dûm,The Mirror-halls of Lumul-nar,HoM,Zirakzigil,58,1,Small Fellowship,QP,,Daily,,Frost-tail; Ergoth
Scourge of Khazad-dûm,The Water Wheels: Nalâ-dûm,WW,The Water-works,58,1,Small Fellowship,QP,,Daily,,Spit-tail; Caerlûg
Scourge of Khazad-dûm,Halls of Crafting,HoC,The Flaming Deeps,58,1,Fellowship,QP,,Daily,,Âmbal; Bashkuga; Thaguzg
Tower of Dol Guldur,Sword-hall of Dol Guldur,SH,Dol Guldur,65-115,2,Small Fellowship,QP,,Daily,,Urcheron; Carchrien; Durkâr
Tower of Dol Guldur,Dungeons of Dol Guldur,Dungeons,Dol Guldur,65-115,2,Fellowship,QP,,Daily,,Guldur Keeper; Guldur Sentinel; Palefolk Prisoner; Broken Prisoner; The Warden
Tower of Dol Guldur,Warg-pens of Dol Guldur,WP,Dol Guldur,65-115,2,Small Fellowship,QP,,Daily,,Athgrat; Kranklob
Tower of Dol Guldur,Sammath Gûl,SG,Dol Guldur,65-115,2,Fellowship,QP,,Daily,,Urchír; Alagossír; Gorothúl; Demafaer
In Their Absence,Lost Temple,LT,The Trollshaws,65-115,2,Fellowship,VIP/QP,Discover[3],Daily,,Angaidh; Sidhág; Vernon Thistlethorn; Múl Dúin; Frûmolog; Ferndúr the Virulent
In Their Absence,Sâri-surma,SS,Forochel,65-115,2,Fellowship,VIP/QP,Discover[3],Daily,,Coldbear the Wight; Ghost of Coldbear; Osan; Drugoth the Death-monger
In Their Absence,Northcotton Farms,NF or Ncf,Evendim,65-115,2,Small Fellowship,VIP/QP,Discover[3],Daily,,Legbarthil; Thadúr; Úmheryn
In Their Absence,Stoneheight,Sth,The North Downs,65-115,2,Small Fellowship,VIP/QP,Discover[3],Daily,,Gundúl; Búbhosh-grat; Dale Truitt; Gundúl; Búbhosh-grat; Dale Truitt; Búbhosh-grat
Rise of Isengard,Dargnákh Unleashed,DU,Isengard,75,2,Small Fellowship,Exp/Buy,Discover[3],Biweekly,,Huva; Dargnákh
Rise of Isengard,Fangorn's Edge,FE,Isengard,75,2,Small Fellowship,Exp/Buy,Discover[3],Biweekly,,Undúrz; Gathaz; Kabor; Zagh
Rise of Isengard,Pits of Isengard,PoI or Pits,Isengard,75,2,Small Fellowship,Exp/Buy,Discover[3],Biweekly,,Zabúrz; Fúshbraf; Ironarm
Rise of Isengard,The Foundry,Foundry,Isengard,75,2,Fellowship,Exp/Buy,Discover[3],Biweekly,,Dhâr; Gurbák; Ghashanuz; Penrith; The Ring-Forge of Orthanc
Rise of Isengard,Roots of Fangorn,RoF,Great River,75,2,Fellowship,VIP/QP,Discover[3],Biweekly,,Frûshkul; Gurthúl
The Road to Erebor,Seat of the Great Goblin,SGG,The Misty Mountains,20-115,2,Small Fellowship,Exp/Buy,,Daily,See also Erebor Instances.,Uloga; Mârubhis; Brosh
The Road to Erebor,Iorbar's Peak,IP,The Misty Mountains,20-115,2,Small Fellowship,Exp/Buy,,Daily,See also Erebor Instances.,Guthfinn; Helf
The Road to Erebor,Webs of the Scuttledells,Webs,Mirkwood,20-115,2,Small Fellowship,Exp/Buy,,Daily,See also Erebor Instances.,Beremud; Dígelir
The Road to Erebor,The Bells of Dale,Bells,Erebor,20-115,2,Fellowship,Exp/Buy,,Daily,See also Erebor Instances.,Graz
Helm's Deep,Helm's Dike,Dike,West Rohan,10-115,,"Solo/Duo, Fellowship (Six)",Free,Epic Battles,?,,
Helm's Deep,The Deeping Wall,Wall or DW,West Rohan,10-115,,"Solo/Duo, Raid (Twelve)",Exp,Epic Battles,?,,
Helm's Deep,The Deeping-coomb,Coomb or DC,West Rohan,10-115,,Solo/Duo,Exp,Epic Battles,?,,
Helm's Deep,The Glittering Caves,GC,West Rohan,10-115,,"Solo/Duo, Small Fellowship (Three)",Exp,Epic Battles,?,,
Helm's Deep,The Hornburg,Hornburg,West Rohan,10-115,,Solo/Duo,Exp,Epic Battles,?,,
War for Gondor,Retaking Pelargir,Pela or Pel or Pelargir,Central Gondor,10-115,,"Solo/Duo, Fellowship (Six)",Free,Epic Battles,?,,Kang-kethek; Ugturu; Kisung Teng; Thisarti; Okurayo; Zagarôth
War for Gondor,Defence of Minas Tirith,MT or Defence,Old Anórien,10-115,,"Solo/Duo, Small Fellowship (Three)",VIP/QP,Epic Battles,?,,Ahârta; Raghathai
War for Gondor,Hammer of the Underworld,Hammer,Old Anórien,10-115,,"Solo/Duo, Fellowship (Six)",VIP/QP,Epic Battles,?,,Mâsorgh; Ughâsh
Osgiliath,Sunken Labyrinth,SL,Eastern Gondor,50-115,2,Small Fellowship (Three),VIP/QP,,Daily,Destroy the hidden forces beneath Osgiliath,Dagron; Muzgásh
Osgiliath,The Ruined City,RC,Eastern Gondor,50-115,2,Small Fellowship (Three),VIP/QP,,Daily,Fight through Osgiliath in search of Faramir,Jukotor; Thrug; Lúmithil
Osgiliath,The Dome of Stars,DoS or Dome,Eastern Gondor,50-115,2,Fellowship (Six),VIP/QP,,Daily,Reclaim the Dome of Stars from the Nazgûl,Upâl-keng; The Lord of Pinions; The Black Blade of Lebenni
Battle of Pelennor,Blood of the Black Serpent,BBS,Old Anórien,75-115,2,Small Fellowship (Three),VIP/QP,,Daily,The Riders of Rohan face the Haradrim and Variags,
Battle of Pelennor,The Quays of the Harlond,Quays,Old Anórien,75-115,2,Small Fellowship (Three),VIP/QP,,Daily,Assault the Harlond alongside Aragorn's army!,Kálmok; Barash; Akhun; Khurat; Mumak; The Forsaken Reave
Battle of Pelennor,The Silent Street,TSS,Old Anórien,75-115,2,Fellowship (Six),VIP/QP,,Daily,"Rath Dínen, the tombs of the Kings and Stewards of Gondor",Lintanar; Boromir; Telemnar; Tarannon Falastur; Atanatar II; The Gloom of Nurn
